CUSTOMER.cid  CART.cid  CART.cartid  
7	7	143	
7	7	149	
9	9	67	
17	17	3	
17	17	141	
20	20	173	
27	27	116	
30	30	186	
36	36	97	
43	43	108	
43	43	111	
43	43	131	
54	54	68	
56	56	98	
59	59	85	
59	59	180	
60	60	102	
63	63	121	
63	63	133	
63	63	157	
65	65	167	
67	67	10	
67	67	114	
74	74	50	
76	76	156	
84	84	90	
90	90	51	
92	92	4	
98	98	130	
98	98	184	
105	105	197	
108	108	25	
108	108	174	
117	117	140	
119	119	73	
119	119	172	
119	119	192	
130	130	2	
130	130	22	
135	135	41	
141	141	11	
141	141	23	
141	141	30	
141	141	89	
141	141	99	
141	141	135	
141	141	183	
152	152	123	
153	153	9	
159	159	1	
159	159	91	
159	159	179	
160	160	33	
160	160	55	
160	160	56	
163	163	65	
169	169	193	
173	173	36	
177	177	72	
182	182	105	
182	182	134	
184	184	40	
184	184	147	
185	185	188	
