CUSTOMER.cid  CART.cid  CART.cartid  
14	14	12	
14	14	138	
14	14	139	
18	18	98	
25	25	89	
26	26	100	
29	29	117	
29	29	192	
33	33	154	
34	34	30	
34	34	185	
36	36	7	
36	36	75	
39	39	19	
49	49	188	
53	53	103	
53	53	159	
53	53	170	
55	55	2	
60	60	148	
61	61	105	
65	65	76	
65	65	130	
66	66	196	
72	72	108	
73	73	85	
73	73	118	
77	77	168	
83	83	183	
104	104	17	
106	106	27	
112	112	81	
114	114	43	
118	118	14	
118	118	42	
121	121	197	
124	124	102	
127	127	24	
131	131	56	
131	131	112	
133	133	64	
140	140	6	
149	149	44	
149	149	157	
151	151	163	
165	165	147	
173	173	152	
182	182	92	
182	182	97	
182	182	190	
183	183	109	
194	194	39	
197	197	179	
