EMPLOYEES.eid  CERTIFIED.eid  
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
10	10	
34063	34063	
42920	42920	
2903	2903	
6858	6858	
38821	38821	
38174	38174	
12108	12108	
5040	5040	
41675	41675	
39728	39728	
44267	44267	
12108	12108	
4795	4795	
29286	29286	
13528	13528	
22444	22444	
11161	11161	
8043	8043	
29126	29126	
8043	8043	
11161	11161	
36945	36945	
28594	28594	
8005	8005	
36480	36480	
41594	41594	
2195	2195	
7917	7917	
6459	6459	
14452	14452	
44338	44338	
13217	13217	
14290	14290	
49830	49830	
45950	45950	
49127	49127	
28887	28887	
46156	46156	
27769	27769	
30324	30324	
11519	11519	
13609	13609	
32352	32352	
18731	18731	
47830	47830	
22411	22411	
12710	12710	
46355	46355	
23380	23380	
5134	5134	
42430	42430	
7043	7043	
31485	31485	
39484	39484	
13694	13694	
22669	22669	
30511	30511	
46355	46355	
16469	16469	
30511	30511	
31419	31419	
39373	39373	
11720	11720	
2942	2942	
43856	43856	
42430	42430	
30747	30747	
37261	37261	
29124	29124	
13612	13612	
25868	25868	
30122	30122	
24540	24540	
34909	34909	
9584	9584	
9315	9315	
48773	48773	
37410	37410	
8556	8556	
5430	5430	
44322	44322	
6372	6372	
12819	12819	
36993	36993	
40470	40470	
46504	46504	
12819	12819	
26635	26635	
12492	12492	
28232	28232	
33105	33105	
7755	7755	
25082	25082	
4886	4886	
48700	48700	
11772	11772	
7206	7206	
2353	2353	
48700	48700	
33441	33441	
10172	10172	
41883	41883	
25082	25082	
40357	40357	
42224	42224	
28580	28580	
34800	34800	
3579	3579	
34800	34800	
8580	8580	
24072	24072	
48177	48177	
36735	36735	
20311	20311	
9815	9815	
5217	5217	
6070	6070	
9339	9339	
35912	35912	
21539	21539	
39871	39871	
37925	37925	
46973	46973	
9815	9815	
10930	10930	
21725	21725	
37925	37925	
31901	31901	
17772	17772	
46973	46973	
47626	47626	
23602	23602	
15481	15481	
8236	8236	
8236	8236	
42429	42429	
44964	44964	
3348	3348	
43827	43827	
12144	12144	
32481	32481	
32481	32481	
44964	44964	
31100	31100	
11619	11619	
10976	10976	
48037	48037	
26296	26296	
31585	31585	
26167	26167	
32109	32109	
44469	44469	
21643	21643	
33067	33067	
7450	7450	
46939	46939	
695	695	
49839	49839	
22770	22770	
44865	44865	
7653	7653	
10001	10001	
21467	21467	
24294	24294	
44865	44865	
45138	45138	
15609	15609	
43882	43882	
10934	10934	
28806	28806	
46151	46151	
36016	36016	
43644	43644	
28763	28763	
3351	3351	
30558	30558	
5140	5140	
45059	45059	
26665	26665	
16068	16068	
3442	3442	
49819	49819	
5922	5922	
3442	3442	
3999	3999	
32893	32893	
45575	45575	
24689	24689	
34302	34302	
47080	47080	
30128	30128	
46000	46000	
23092	23092	
4086	4086	
38628	38628	
34283	34283	
35717	35717	
38603	38603	
48872	48872	
36266	36266	
46503	46503	
32604	32604	
32499	32499	
8898	8898	
